Nivel;ID;Denominacion
4;CH-RAM-CCH-03;RAM BBY3
3;L504-BB03-000032;BLACK(NEGRO DE HUMO)
4;CH-BALANZA-CCH-02;BALANZA BBY3
4;CH-CNTELBLK-CCH-02;CONTROL ELECTRICO BLACK BBY3
4;CH-TOLVA-CCH-09;TOLVA 1 BBY3
4;CH-TOLVA-CCH-10;TOLVA 2 BBY3
4;CH-TOLVA-CCH-11;TOLVA 3 BBY3
4;CH-TOLVA-CCH-12;TOLVA 4 BBY3
4;CH-TOLVA-CCH-13;TOLVA 5 BBY3
4;CH-TOLVA-CCH-14;TOLVA 6 BBY3
4;CH-TOLVA-CCH-15;TOLVA 7 BBY3
4;CH-TOLVA-CCH-16;TOLVA 8 BBY3
3;L504-BB03-000033;OIL(ACEITES)
4;CH-ACEITEA-CCH-05;ACEITE LADO A BBY3
4;CH-ACEITEB-CCH-06;ACEITE LADO B BBY3
4;CH-CNTELOIL-CCH-03;CONTROL ELECTRICO OIL  BBY3
3;L504-BB03-000034;MIXER
4;CH-CNTELECMX-CCH03;CONTROL ELECTRICO MIXER BBY3
4;CH-CUERPO-CCH-03;CUERPO BBY3
4;CH-MOTORPRI-CCH-03;MOTOR PRINCIPAL MIXER BBY #3
3;L504-BB03-000035;PUTUP(ZONA DE CARGA)
4;CH-CARGLAT-CCH-05;CARGADOR LATERAL 1 BBY3
4;CH-CARGLAT-CCH-06;CARGADOR LATERAL 2 BBY3
4;CH-CONVBAL-CCH-03;CONVEYOR BALANZA BBY3
4;CH-CONVCAR-CCH-03;CONVEYOR CARGA BBY3
4;CONTELPUTUP-CCH-03;CONTROL ELECTRICO PUTUP BBY3
3;L504-BB03-000036;SHEETING(LAMINADO)
4;CH-HOPPER-CCH-03;HOPPER BBY3
4;CH-MOTOREXT-CCH-03;MOTOR EXTRUDER BBY #3
4;CH-MOTORROL-CCH-03;MOTOR ROLLER DIE BBY #3
4;CH-TRSRDIE-CCH-03;TSR ROLLER DIE BBY3
4;CH-TSREXTRU-CCH-03;TSR EXTRUDER BBY3
4;CNTRLESHET-CCH-03;CONTROL ELECTRICO SHEETING BBY3
3;L504-BB03-000037;COOLING(ENFRIAMIENTO)
4;CH-CHILLER-CCH-03;CHILLER BBY3
4;CH-CNTRECOL-CCH-03;CONTROL ELECTRICO COOLING BBY3
4;CH-CONVSLUR-CCH-03;CONVEYOR SLURRY BBY3
4;CH-FESTONRK-CCH-03;FESTOON RACK BBY3
4;CH-MANAIR-CCH-03;MANEJADOR DE AIRE BBY3
4;CNTRLETAKE-CCH-03;CONVEYOR TAKEAWAY BBY3
3;L504-BB03-000038;LAYDOWN
4;CH-APICKOUT-CCH-03;AUTO PICK-OUT BBY3
4;CH-CNTLELAY-CCH-03;CONTROL ELECTRICO LAYDOWN BBY3
4;CH-SKIDINDX-CCH-05;SKID INDEXER 1 BBY3
4;CH-SKIDINDX-CCH-06;SKID INDEXER 2 BBY3
4;CH-WIGWAG-CCH-05;WIG-WAG 1 BBY3
4;CH-WIGWAG-CCH-06;WIG-WAG 2 BBY3
2;L504-BB04;MIXER 4
3;L504-BB04-000031;AUXILIARES
4;CH-BTCU-CCH-04;BTCU BBY4
4;CH-CCARGA-CCH-04;PUERTA DE CARGA BBY4
4;CH-CDESCA-CCH-04;COMPUERTA DESCARGA BBY4
4;CH-CNTLELEC-CCH-04;CONTROL ELECTRICO AUX BBY4
4;CH-CREDUCT-04;CAJA REDUCTORA BBY4
4;CH-DSL-CCH-04;DSL BBY4
4;CH-DUSTCOLL-CCH-04;DUST COLLECTOR MIX BBY4
4;CH-HTU-CCH-04;HTU BBY4
4;CH-HYDRAULI-CCH-04;HYDRAULICO BBY4
4;CH-INYGREAS-CCH04;SISTEMA INYECCION DE GRASA BBY4
4;CH-MTCU-CCH-04;MTCU BBY4
4;CH-RAM-CCH-04;RAM BBY4
3;L504-BB04-000032;BLACK(NEGRO DE HUMO)
4;CH-BALANZA-CCH-03;BALANZA BBY4
4;CH-CNTELBLK-CCH-03;CONTROL ELECTRICO BLACK BBY4
4;CH-TOLVA-CCH-17;TOLVA 1 BBY4
4;CH-TOLVA-CCH-18;TOLVA 2 BBY4
4;CH-TOLVA-CCH-19;TOLVA 3 BBY4
4;CH-TOLVA-CCH-20;TOLVA 4 BBY4
4;CH-TOLVA-CCH-21;TOLVA 5 BBY4
4;CH-TOLVA-CCH-22;TOLVA 6 BBY4
4;CH-TOLVA-CCH-23;TOLVA 7 BBY4
4;CH-TOLVA-CCH-24;TOLVA 8 BBY4
3;L504-BB04-000033;OIL(ACEITES)
4;CH-ACEITEA-CCH-07;ACEITE LADO A BBY4
4;CH-ACEITEB-CCH-08;ACEITE LADO B BBY4
4;CH-CNTELOIL-CCH-04;CONTROL ELECTRICO OIL  BBY4
3;L504-BB04-000034;MIXER
4;CH-CNTELECMX-CCH04;CONTROL ELECTRICO MIXER BBY4
4;CH-CUERPO-CCH-04;CUERPO BBY4
4;CH-MOTORPRI-CCH-04;MOTOR PRINCIPAL MIXER BBY #4
3;L504-BB04-000035;PUTUP(ZONA DE CARGA)
4;CH-CARGLAT-CCH-07;CARGADOR LATERAL 1 BBY4
4;CH-CARGLAT-CCH-08;CARGADOR LATERAL 2 BBY4
4;CH-CONVBAL-CCH-04;CONVEYOR BALANZA BBY4
4;CH-CONVCAR-CCH-04;CONVEYOR CARGA BBY4
4;CONTELPUTUP-CCH-04;CONTROL ELECTRICO PUTUP BBY4
3;L504-BB04-000036;SHEETING(LAMINADO)
4;CH-HOPPER-CCH-04;HOPPER BBY4
4;CH-MOLINO-CCH-04;MOLINO BBY4
4;CH-MOTORMOL-CCH-04;MOTOR MOLINO BBY #4
4;CH-TRSRDIE-CCH-04;TSR ROLLER DIE BBY4
4;CH-TSREXTRU-CCH-04;TSR EXTRUDER BBY4
4;CNTRLESHET-CCH-04;CONTROL ELECTRICO SHEETING BBY4
3;L504-BB04-000037;COOLING(ENFRIAMIENTO)
4;CH-CHILLER-CCH-04;CHILLER BBY4
4;CH-CNTRECOL-CCH-04;CONTROL ELECTRICO COOLING BBY4
4;CH-CONVSLUR-CCH-04;CONVEYOR SLURRY BBY4
4;CH-FESTONRK-CCH-04;FESTOON RACK BBY4
4;CH-MANAIR-CCH-04;MANEJADOR DE AIRE BBY4
4;CNTRLETAKE-CCH-04;CONVEYOR TAKEAWAY BBY4
3;L504-BB04-000038;LAYDOWN
4;CH-APICKOUT-CCH-04;AUTO PICK-OUT BBY4
4;CH-CNTLELAY-CCH-04;CONTROL ELECTRICO LAYDOWN BBY4
4;CH-SKIDINDX-CCH-07;SKID INDEXER 1 BBY4
4;CH-SKIDINDX-CCH-08;SKID INDEXER 2 BBY4
4;CH-WIGWAG-CCH-07;WIG-WAG 1 BBY4
4;CH-WIGWAG-CCH-08;WIG-WAG 2 BBY4
2;L504-BB05;MIXER 5
3;L504-BB05-000031;AUXILIARES
4;CH-BTCU-CCH-05;BTCU BBY5
4;CH-CCARGA-CCH-05;PUERTA DE CARGA BBY5
4;CH-CDESCA-CCH-05;COMPUERTA DESCARGA BBY5
4;CH-CNTLELEC-CCH-05;CONTROL ELECTRICO AUX BBY5
4;CH-CREDUCT-05;CAJA REDUCTORA BBY5
4;CH-DSL-CCH-05;DSL BBY5
4;CH-DUSTCOLL-CCH-05;DUST COLLECTOR MIX BBY5
4;CH-HTU-CCH-05;HTU BBY5
4;CH-HYDRAULI-CCH-05;HYDRAULICO BBY5
4;CH-INYGREAS-CCH05;SISTEMA INYECCION DE GRASA BBY5
4;CH-MTCU-CCH-05;MTCU BBY5
4;CH-RAM-CCH-05;RAM BBY5
3;L504-BB05-000032;BLACK(NEGRO DE HUMO)
4;CH-BALANZA-CCH-04;BALANZA BBY5
4;CH-CNTELBLK-CCH-04;CONTROL ELECTRICO BLACK BBY5
4;CH-TOLVA-CCH-25;TOLVA 1 BBY5
4;CH-TOLVA-CCH-26;TOLVA 2 BBY5
4;CH-TOLVA-CCH-27;TOLVA 3 BBY5
4;CH-TOLVA-CCH-28;TOLVA 4 BBY5
4;CH-TOLVA-CCH-29;TOLVA 5 BBY5
4;CH-TOLVA-CCH-30;TOLVA 6 BBY5
4;CH-TOLVA-CCH-31;TOLVA 7 BBY5
4;CH-TOLVA-CCH-32;TOLVA 8 BBY5
3;L504-BB05-000033;OIL(ACEITES)
4;CH-ACEITEA-CCH-09;ACEITE LADO A BBY5
4;CH-ACEITEB-CCH-10;ACEITE LADO B BBY5
4;CH-CNTELOIL-CCH-05;CONTROL ELECTRICO OIL BBY5
3;L504-BB05-000034;MIXER
4;CH-CNTELECMX-CCH05;CONTROL ELECTRICO MIXER BBY5
4;CH-CUERPO-CCH-05;CUERPO BBY5
4;CH-MOTORPRI-CCH-05;MOTOR PRINCIPAL MIXER BBY #5
3;L504-BB05-000035;PUTUP(ZONA DE CARGA)
4;CH-CARGLAT-CCH-09;CARGADOR LATERAL 1 BBY5
4;CH-CARGLAT-CCH-10;CARGADOR LATERAL 2 BBY5
4;CH-CONVBAL-CCH-05;CONVEYOR BALANZA BBY5
4;CH-CONVCAR-CCH-05;CONVEYOR CARGA BBY5
4;CONTELPUTUP-CCH-05;CONTROL ELECTRICO PUTUP BBY5
3;L504-BB05-000036;SHEETING(LAMINADO)
4;CH-HOPPER-CCH-05;HOPPER BBY5
4;CH-MOTOREXT-CCH-05;MOTOR EXTRUDER BBY #5
4;CH-MOTORROL-CCH-05;MOTOR ROLLER DIE BBY #5
4;CH-TRSRDIE-CCH-05;TSR ROLLER DIE BBY5
4;CH-TSREXTRU-CCH-05;TSR EXTRUDER BBY5
4;CNTRLESHET-CCH-05;CONTROL ELECTRICO SHEETING BBY5
3;L504-BB05-000037;COOLING(ENFRIAMIENTO)
4;CH-CHILLER-CCH-05;CHILLER BBY5
4;CH-CNTRECOL-CCH-05;CONTROL ELECTRICO COOLING BBY5
4;CH-CONVSLUR-CCH-05;CONVEYOR SLURRY BBY5
4;CH-FESTONRK-CCH-05;FESTOON RACK BBY5
4;CH-MANAIR-CCH-05;MANEJADOR DE AIRE BBY5
4;CNTRLETAKE-CCH-05;CONVEYOR TAKEAWAY BBY5
3;L504-BB05-000038;LAYDOWN
4;CH-APICKOUT-CCH-05;AUTO PICK-OUTC BBY5
4;CH-CNTLELAY-CCH-05;CONTROL ELECTRICO LAYDOWN BBY5
4;CH-SKIDINDX-CCH-09;SKID INDEXER 1 BBY5
4;CH-SKIDINDX-CCH-10;SKID INDEXER 2 BBY5
4;CH-WIGWAG-CCH-09;WIG-WAG 1 BBY5
4;CH-WIGWAG-CCH-10;WIG-WAG 2 BBY5
3;L504-BB05-000039;DYNAMIC AIR
4;CH-BIN-CCH-09;BIN # 1 BBY5
4;CH-BIN-CCH-10;BIN # 2 BBY5
4;CH-BIN-CCH-11;BIN # 3 BBY5
4;CH-BIN-CCH-12;BIN # 4 BBY5
4;CH-BIN-CCH-13;BIN # 5 BBY5
4;CH-BIN-CCH-14;BIN # 6 BBY5
4;CH-BIN-CCH-15;BIN # 7 BBY5
4;CH-BIN-CCH-16;BIN # 8 BBY5
4;CH-BINCARG-CCH-02;BIN DE CARGA BBY5
4;CH-CNTELDYN-CCH-02;CONTROL ELECTRICO DYNAMIC BBY5
4;CH-DUSTCOLL-CCH-02;DUST COLLECTOR BBY5
4;CH-MANIFDER-CCH-02;MANIFOLD DERIVACION BBY5
4;CH-VALV3WAY-CCH-02;VALVULA DE TRES VIAS BBY5
2;L504-BB_TEST_JG;ARBOL NEW MX JG
3;L504-MX01;MIXER 1
4;L504-MX01-080000;TABLEROS ELECTRICOS
5;L504-MX01-081000;TABLEROS ELECTRICOS 1ER PISO
2;L504-MLAM01;MOLINO LAMINADOR
3;L504-MLAM01-010000;CONVEYOR DE CARGA
4;L504-MLAM01-011000;TRANSPORTADOR CORTO
5;L504-MLAM01-011100;CORREA
5;L504-MLAM01-011200;POLÍN 1
5;L504-MLAM01-011300;POLÍN 2
5;L504-MLAM01-011400;POLINES GUÍA
5;L504-MLAM01-011500;UNIDAD TENSOR
5;L504-MLAM01-011600;ENGRANE DE TRANSFERENCIA
5;L504-MLAM01-011700;DISPOSITIVOS DE SEGURIDAD
4;L504-MLAM01-012000;TRANSPORTADOR LARGO
5;L504-MLAM01-012100;CORREA
5;L504-MLAM01-012200;POLÍN 1
5;L504-MLAM01-012300;POLÍN 2
5;L504-MLAM01-012400;POLINES GUÍAS
5;L504-MLAM01-012500;POLINES LATERALES
5;L504-MLAM01-012600;MOTOREDUCTOR
5;L504-MLAM01-012700;DISPOSITIVOS DE SEGURIDAD
3;L504-MLAM01-020000;MOLINOS
4;L504-MLAM01-021000;MOLINO 1
5;L504-MLAM01-021100;ROLLER A
5;L504-MLAM01-021200;ROLLER B
5;L504-MLAM01-021300;SISTEMA DE CORTE
4;L504-MLAM01-022000;MOLINO 2
4;L504-MLAM01-023000;MOTOR PRINCIPAL
4;L504-MLAM01-024000;REDUCTOR PRINCIPAL
4;L504-MLAM01-025000;TRANSPORTADOR TRANSFERENCIA
4;L504-MLAM01-026000;TRANSPORTADOR SALIDA MOLINO
4;L504-MLAM01-027000;EXTRACTOR
3;L504-MLAM01-030000;DIP TANK
4;L504-MLAM01-031000;TRANSPORTADOR ENTRADA
4;L504-MLAM01-032000;CONVEYOR SLURRY
4;L504-MLAM01-033000;DEPOSITO SLURRY
4;L504-MLAM01-034000;PIPING SLURRY
3;L504-MLAM01-040000;BATCHOFF
4;L504-MLAM01-041000;TRANSMISIÓN DE BATCHOFF
4;L504-MLAM01-042000;EXTRACTORES
4;L504-MLAM01-043000;EQUIPO DE VENTILACIÓN
3;L504-MLAM01-050000;LAYDOWN
4;L504-MLAM01-051000;CONVEYOR DE SUBIDA
5;L504-MLAM01-051100;CORREA
5;L504-MLAM01-051200;POLÍN 1
